tag_personaje,alias_personaje,popularidad,tag_franquicia
aris_(blue_archive),aris,11824,blue_archive
mari_(blue_archive),mari,11439,blue_archive
shiroko_(blue_archive),shiroko,11529,blue_archive
toki_(blue_archive),toki,12151,blue_archive
kazusa_(blue_archive),kazusa,11196,blue_archive
koharu_(blue_archive),koharu,10281,blue_archive
noa_(blue_archive),noa,8514,blue_archive
seia_(blue_archive),seia,9418,blue_archive
plana_(blue_archive),plana,8435,blue_archive
karin_(blue_archive),karin,8562,blue_archive
kanna_(blue_archive),kanna,6653,blue_archive
aru_(blue_archive),aru,7676,blue_archive
ako_(blue_archive),ako,7057,blue_archive
arona_(blue_archive),arona,7905,blue_archive
hasumi_(blue_archive),hasumi,6968,blue_archive
momoi_(blue_archive),momoi,7812,blue_archive
kei_(blue_archive),kei,7335,blue_archive
asuna_(bunny)_(blue_archive),asuna,6957,blue_archive
saori_(blue_archive),saori,6431,blue_archive
neru_(blue_archive),neru,5800,blue_archive
miyu_(blue_archive),miyu,5520,blue_archive
nozomi_(blue_archive),nozomi,6749,blue_archive
hanako_(blue_archive),hanako,7600,blue_archive
hikari_(blue_archive),hikari,6296,blue_archive
ui_(blue_archive),ui,5193,blue_archive
mutsuki_(blue_archive),mutsuki,6241,blue_archive
hifumi_(blue_archive),hifumi,4872,blue_archive
ibuki_(blue_archive),ibuki,5409,blue_archive
midori_(blue_archive),midori,6519,blue_archive
toki_(bunny)_(blue_archive),toki,5987,blue_archive
ichika_(blue_archive),ichika,4656,blue_archive
shiroko_terror_(blue_archive),terror shiroko|shiroko terror|shiroko|terror,4727,blue_archive
miyako_(blue_archive),miyako,5178,blue_archive
kei_(student)_(blue_archive),kei,4315,blue_archive
iori_(blue_archive),iori,4211,blue_archive
kikyou_(blue_archive),kikyou,4424,blue_archive
iroha_(blue_archive),iroha,4426,blue_archive
peroro_(blue_archive),peroro,3391,blue_archive
hibiki_(blue_archive),hibiki,3537,blue_archive
wakamo_(blue_archive),wakamo,4279,blue_archive
gardevoir,gardevoir,17825,pokemon
pikachu,pikachu,17550,pokemon
rosa_(pokemon),rosa,8923,pokemon
dawn_(pokemon),dawn,9514,pokemon
hilda_(pokemon),hilda,8139,pokemon
may_(pokemon),may,8852,pokemon
lillie_(pokemon),lillie,9358,pokemon
marnie_(pokemon),marnie,8179,pokemon
kieran_(pokemon),kieran,6817,pokemon
cynthia_(pokemon),cynthia,7719,pokemon
eevee,eevee,7285,pokemon
gloria_(pokemon),gloria,6815,pokemon
red_(pokemon),red,6317,pokemon
serena_(pokemon),serena,6120,pokemon
selene_(pokemon),selene,5088,pokemon
iono_(pokemon),iono,5799,pokemon
rotom,rotom,5302,pokemon
misty_(pokemon),misty,4758,pokemon
ash_ketchum,ash ketchum|ketchum ash|ketchum|ash,6395,pokemon
ethan_(pokemon),ethan,3844,pokemon
nessa_(pokemon),nessa,3878,pokemon
sylveon,sylveon,4236,pokemon
akari_(pokemon),akari,4029,pokemon
lucario,lucario,3902,pokemon
juliana_(pokemon),juliana,3877,pokemon
bea_(pokemon),bea,3661,pokemon
glaceon,glaceon,3543,pokemon
leon_(pokemon),leon,3954,pokemon
rowlet,rowlet,3786,pokemon
mega_gardevoir,gardevoir mega|mega gardevoir|gardevoir|mega,3459,pokemon
piplup,piplup,3628,pokemon
hilbert_(pokemon),hilbert,3356,pokemon
hex_maniac_(pokemon),maniac hex|hex maniac|maniac|hex,4490,pokemon
charizard,charizard,3917,pokemon
rotom_phone,phone rotom|rotom phone|rotom|phone,3748,pokemon
brendan_(pokemon),brendan,2780,pokemon
rika_(pokemon),rika,3850,pokemon
lana_(pokemon),lana,3540,pokemon
carmine_(pokemon),carmine,3256,pokemon
skyla_(pokemon),skyla,3207,pokemon
florian_(pokemon),florian,3090,pokemon
umbreon,umbreon,3738,pokemon
leaf_(pokemon),leaf,3111,pokemon
kirlia,kirlia,2895,pokemon
gengar,gengar,3360,pokemon
n_(pokemon),,3145,pokemon
raihan_(pokemon),raihan,3961,pokemon
bulbasaur,bulbasaur,3253,pokemon
blue_oak,oak blue|blue oak|blue|oak,3636,pokemon
lyra_(pokemon),lyra,3000,pokemon
artoria_pendragon_(fate),pendragon artoria|artoria pendragon|pendragon|artoria,46219,fate_(series)
saber_(fate),saber,21226,fate_(series)
fujimaru_ritsuka_(male),ritsuka fujimaru|fujimaru ritsuka|fujimaru|ritsuka,19134,fate_(series)
mash_kyrielight,mash kyrielight|kyrielight mash|kyrielight|mash,20941,fate_(series)
fujimaru_ritsuka_(female),ritsuka fujimaru|fujimaru ritsuka|fujimaru|ritsuka,16536,fate_(series)
jeanne_d'arc_alter_(fate),jeanne darc alter|jeanne|alter,13793,fate_(series)
abigail_williams_(fate),abigail williams|williams abigail|williams|abigail,12728,fate_(series)
illyasviel_von_einzbern,illyasviel von einzbern|illyasviel|einzbern,11131,fate_(series)
tohsaka_rin,tohsaka rin|rin tohsaka|tohsaka|rin,10942,fate_(series)
nero_claudius_(fate),claudius nero|nero claudius|claudius|nero,11408,fate_(series)
scathach_(fate),scathach,9508,fate_(series)
tamamo_no_mae_(fate),tamamo no mae|tamamo|mae,9165,fate_(series)
emiya_shirou,shirou emiya|emiya shirou|shirou|emiya,7823,fate_(series)
archer_(fate),archer,7222,fate_(series)
baobhan_sith_(fate),sith baobhan|baobhan sith|baobhan|sith,7628,fate_(series)
gilgamesh_(fate),gilgamesh,8368,fate_(series)
saber_alter,alter saber|saber alter|alter|saber,7291,fate_(series)
shuten_douji_(fate),douji shuten|shuten douji|shuten|douji,7814,fate_(series)
cu_chulainn_(fate),chulainn cu|cu chulainn|chulainn|cu,7040,fate_(series)
astolfo_(fate),astolfo,7664,fate_(series)
matou_sakura,sakura matou|matou sakura|sakura|matou,6898,fate_(series)
ereshkigal_(fate),ereshkigal,5643,fate_(series)
bb_(fate),bb,6588,fate_(series)
morgan_le_fay_(fate),morgan le fay|morgan|fay,6285,fate_(series)
jeanne_d'arc_(fate),jeanne darc|darc jeanne|jeanne|darc,8773,fate_(series)
minamoto_no_raikou_(fate),minamoto no raikou|minamoto|raikou,6606,fate_(series)
medusa_(fate),medusa,5847,fate_(series)
okita_souji_(fate),okita souji|souji okita|souji|okita,7970,fate_(series)
mordred_(fate),mordred,6749,fate_(series)
artoria_pendragon_(lancer)_(fate),pendragon artoria|artoria pendragon|pendragon|artoria,5788,fate_(series)
chloe_von_einzbern,chloe von einzbern|einzbern|chloe,4632,fate_(series)
ishtar_(fate),ishtar,5334,fate_(series)
miyamoto_musashi_(fate),miyamoto musashi|musashi miyamoto|miyamoto|musashi,5155,fate_(series)
meltryllis_(fate),meltryllis,5232,fate_(series)
cu_chulainn_(lancer)_(fate),chulainn cu|cu chulainn|chulainn|cu,4317,fate_(series)
kama_(fate),kama,4313,fate_(series)
medusa_(rider)_(fate),medusa,4497,fate_(series)
waver_velvet,velvet waver|waver velvet|velvet|waver,3353,fate_(series)
artoria_caster_(fate),caster artoria|artoria caster|artoria|caster,4606,fate_(series)
iskandar_(fate),iskandar,3410,fate_(series)
emiya_kiritsugu,emiya kiritsugu|kiritsugu emiya|kiritsugu|emiya,2903,fate_(series)
florence_nightingale_(fate),nightingale florence|florence nightingale|nightingale|florence,3931,fate_(series)
okita_souji_(koha-ace),okita souji|souji okita|souji|okita,5594,fate_(series)
jeanne_d'arc_alter_(avenger)_(fate),jeanne darc alter|jeanne|alter,3577,fate_(series)
abigail_williams_(first_ascension)_(fate),abigail williams|williams abigail|williams|abigail,3679,fate_(series)
jack_the_ripper_(fate/apocrypha),jack the ripper|ripper|jack,3687,fate_(series)
oberon_(fate),oberon,3497,fate_(series)
nitocris_(fate),nitocris,3445,fate_(series)
oda_nobunaga_(fate),oda nobunaga|nobunaga oda|nobunaga|oda,4047,fate_(series)
mash_kyrielight_(dangerous_beast),mash kyrielight|kyrielight mash|kyrielight|mash,2993,fate_(series)
gawr_gura,gura gawr|gawr gura|gawr|gura,16488,hololive
houshou_marine,marine houshou|houshou marine|houshou|marine,17979,hololive
shirakami_fubuki,shirakami fubuki|fubuki shirakami|shirakami|fubuki,16036,hololive
hoshimachi_suisei,hoshimachi suisei|suisei hoshimachi|hoshimachi|suisei,15321,hololive
nekomata_okayu,nekomata okayu|okayu nekomata|nekomata|okayu,11733,hololive
ouro_kronii,kronii ouro|ouro kronii|kronii|ouro,14511,hololive
mori_calliope,mori calliope|calliope mori|calliope|mori,12682,hololive
usada_pekora,usada pekora|pekora usada|pekora|usada,11970,hololive
ninomae_ina'nis,inanis ninomae|ninomae inanis|ninomae|inanis,12753,hololive
takanashi_kiara,takanashi kiara|kiara takanashi|takanashi|kiara,10536,hololive
minato_aqua,minato aqua|aqua minato|minato|aqua,9643,hololive
tokoyami_towa,tokoyami towa|towa tokoyami|tokoyami|towa,9958,hololive
nanashi_mumei,mumei nanashi|nanashi mumei|nanashi|mumei,9683,hololive
ookami_mio,ookami mio|mio ookami|ookami|mio,8458,hololive
sakura_miko,sakura miko|miko sakura|sakura|miko,10284,hololive
nerissa_ravencroft,ravencroft nerissa|nerissa ravencroft|ravencroft|nerissa,7648,hololive
oozora_subaru,subaru oozora|oozora subaru|oozora|subaru,7985,hololive
watson_amelia,amelia watson|watson amelia|watson|amelia,7406,hololive
inugami_korone,korone inugami|inugami korone|inugami|korone,7350,hololive
shirogane_noel,noel shirogane|shirogane noel|shirogane|noel,7337,hololive
amane_kanata,amane kanata|kanata amane|kanata|amane,7766,hololive
gawr_gura_(1st_costume),gura gawr|gawr gura|gawr|gura,7630,hololive
hakos_baelz,baelz hakos|hakos baelz|baelz|hakos,7617,hololive
sakamata_chloe,sakamata chloe|chloe sakamata|sakamata|chloe,7059,hololive
shiori_novella,novella shiori|shiori novella|novella|shiori,7797,hololive
yukihana_lamy,yukihana lamy|lamy yukihana|yukihana|lamy,7675,hololive
houshou_marine_(1st_costume),marine houshou|houshou marine|houshou|marine,6204,hololive
shishiro_botan,botan shishiro|shishiro botan|shishiro|botan,6561,hololive
irys_(hololive),irys,5923,hololive
la+_darknesss,la+ darknesss|darknesss la+|darknesss|la+,5943,hololive
raora_panthera,panthera raora|raora panthera|panthera|raora,5164,hololive
fuwawa_abyssgard,abyssgard fuwawa|fuwawa abyssgard|abyssgard|fuwawa,6295,hololive
mococo_abyssgard,mococo abyssgard|abyssgard mococo|abyssgard|mococo,6213,hololive
ceres_fauna,ceres fauna|fauna ceres|fauna|ceres,5659,hololive
usada_pekora_(1st_costume),usada pekora|pekora usada|pekora|usada,4880,hololive
uruha_rushia,uruha rushia|rushia uruha|rushia|uruha,4698,hololive
nakiri_ayame,ayame nakiri|nakiri ayame|nakiri|ayame,5506,hololive
takodachi_(ninomae_ina'nis),takodachi,4242,hololive
shiranui_flare,shiranui flare|flare shiranui|shiranui|flare,5307,hololive
natsuiro_matsuri,matsuri natsuiro|natsuiro matsuri|natsuiro|matsuri,4567,hololive
don-chan_(usada_pekora),don-chan,4027,hololive
shirakami_fubuki_(1st_costume),shirakami fubuki|fubuki shirakami|shirakami|fubuki,4661,hololive
gigi_murin,murin gigi|gigi murin|murin|gigi,3321,hololive
kazama_iroha,iroha kazama|kazama iroha|kazama|iroha,4515,hololive
hakui_koyori,hakui koyori|koyori hakui|koyori|hakui,5224,hololive
koseki_bijou,koseki bijou|bijou koseki|koseki|bijou,5099,hololive
nekomata_okayu_(1st_costume),nekomata okayu|okayu nekomata|nekomata|okayu,3089,hololive
momosuzu_nene,momosuzu nene|nene momosuzu|momosuzu|nene,3776,hololive
murasaki_shion,murasaki shion|shion murasaki|murasaki|shion,5227,hololive
azki_(hololive),azki,3924,hololive
scaramouche_(genshin_impact),scaramouche,27355,genshin_impact
raiden_shogun,raiden shogun|shogun raiden|raiden|shogun,22062,genshin_impact
lumine_(genshin_impact),lumine,22177,genshin_impact
ganyu_(genshin_impact),ganyu,20215,genshin_impact
wanderer_(genshin_impact),wanderer,15263,genshin_impact
hu_tao_(genshin_impact),hu tao|tao hu|tao|hu,14581,genshin_impact
furina_(genshin_impact),furina,13956,genshin_impact
aether_(genshin_impact),aether,14080,genshin_impact
nahida_(genshin_impact),nahida,13408,genshin_impact
yae_miko,yae miko|miko yae|miko|yae,12476,genshin_impact
columbina_(genshin_impact),columbina,9540,genshin_impact
zhongli_(genshin_impact),zhongli,10193,genshin_impact
mona_(genshin_impact),mona,9953,genshin_impact
keqing_(genshin_impact),keqing,8441,genshin_impact
kamisato_ayaka,ayaka kamisato|kamisato ayaka|kamisato|ayaka,7355,genshin_impact
klee_(genshin_impact),klee,7229,genshin_impact
venti_(genshin_impact),venti,8471,genshin_impact
paimon_(genshin_impact),paimon,8357,genshin_impact
tartaglia_(genshin_impact),tartaglia,7486,genshin_impact
nilou_(genshin_impact),nilou,5986,genshin_impact
sandrone_(genshin_impact),sandrone,6629,genshin_impact
arlecchino_(genshin_impact),arlecchino,5948,genshin_impact
xiao_(genshin_impact),xiao,6247,genshin_impact
boo_tao_(genshin_impact),boo tao|tao boo|tao|boo,5811,genshin_impact
eula_(genshin_impact),eula,6431,genshin_impact
shenhe_(genshin_impact),shenhe,6391,genshin_impact
yelan_(genshin_impact),yelan,4694,genshin_impact
alhaitham_(genshin_impact),alhaitham,3783,genshin_impact
kaedehara_kazuha,kaedehara kazuha|kazuha kaedehara|kaedehara|kazuha,4555,genshin_impact
fischl_(genshin_impact),fischl,4162,genshin_impact
sangonomiya_kokomi,kokomi sangonomiya|sangonomiya kokomi|sangonomiya|kokomi,4525,genshin_impact
tighnari_(genshin_impact),tighnari,3005,genshin_impact
cyno_(genshin_impact),cyno,2496,genshin_impact
barbara_(genshin_impact),barbara,4059,genshin_impact
diluc_(genshin_impact),diluc,3957,genshin_impact
jean_(genshin_impact),jean,4092,genshin_impact
scaramouche_(harbinger)_(genshin_impact),scaramouche,3866,genshin_impact
kaveh_(genshin_impact),kaveh,2732,genshin_impact
citlali_(genshin_impact),citlali,3986,genshin_impact
amber_(genshin_impact),amber,3433,genshin_impact
neuvillette_(genshin_impact),neuvillette,2991,genshin_impact
kaeya_(genshin_impact),kaeya,3134,genshin_impact
ningguang_(genshin_impact),ningguang,2686,genshin_impact
yoimiya_(genshin_impact),yoimiya,3892,genshin_impact
scaramouche_(kabukimono)_(genshin_impact),scaramouche,2536,genshin_impact
qiqi_(genshin_impact),qiqi,3213,genshin_impact
mavuika_(genshin_impact),mavuika,2535,genshin_impact
aranara_(genshin_impact),aranara,2005,genshin_impact
albedo_(genshin_impact),albedo,3074,genshin_impact
noelle_(genshin_impact),noelle,2158,genshin_impact
producer_(idolmaster),producer,11600,idolmaster
shibuya_rin,rin shibuya|shibuya rin|shibuya|rin,7464,idolmaster
kisaragi_chihaya,chihaya kisaragi|kisaragi chihaya|kisaragi|chihaya,6942,idolmaster
higuchi_madoka,madoka higuchi|higuchi madoka|higuchi|madoka,5948,idolmaster
amami_haruka,amami haruka|haruka amami|haruka|amami,6368,idolmaster
kikuchi_makoto,makoto kikuchi|kikuchi makoto|kikuchi|makoto,5932,idolmaster
shinosawa_hiro,hiro shinosawa|shinosawa hiro|shinosawa|hiro,6860,idolmaster
hoshii_miki,hoshii miki|miki hoshii|hoshii|miki,6847,idolmaster
shijou_takane,takane shijou|shijou takane|takane|shijou,5645,idolmaster
yumemi_riamu,yumemi riamu|riamu yumemi|yumemi|riamu,5596,idolmaster
minase_iori,minase iori|iori minase|minase|iori,5106,idolmaster
fujita_kotone,fujita kotone|kotone fujita|fujita|kotone,4124,idolmaster
shirasaka_koume,shirasaka koume|koume shirasaka|shirasaka|koume,5446,idolmaster
futaba_anzu,futaba anzu|anzu futaba|futaba|anzu,4129,idolmaster
kanzaki_ranko,ranko kanzaki|kanzaki ranko|kanzaki|ranko,4002,idolmaster
mayuzumi_fuyuko,fuyuko mayuzumi|mayuzumi fuyuko|mayuzumi|fuyuko,3949,idolmaster
takagaki_kaede,takagaki kaede|kaede takagaki|takagaki|kaede,4650,idolmaster
sagisawa_fumika,fumika sagisawa|sagisawa fumika|sagisawa|fumika,4809,idolmaster
shimamura_uzuki,uzuki shimamura|shimamura uzuki|shimamura|uzuki,4896,idolmaster
jougasaki_mika,jougasaki mika|mika jougasaki|jougasaki|mika,4160,idolmaster
nitta_minami,nitta minami|minami nitta|minami|nitta,3728,idolmaster
tachibana_arisu,arisu tachibana|tachibana arisu|tachibana|arisu,5106,idolmaster
anastasia_(idolmaster),anastasia,3561,idolmaster
miura_azusa,azusa miura|miura azusa|azusa|miura,3518,idolmaster
koshimizu_sachiko,koshimizu sachiko|sachiko koshimizu|koshimizu|sachiko,3624,idolmaster
ganaha_hibiki,ganaha hibiki|hibiki ganaha|hibiki|ganaha,4758,idolmaster
hachimiya_meguru,hachimiya meguru|meguru hachimiya|hachimiya|meguru,2794,idolmaster
sakurai_momoka,momoka sakurai|sakurai momoka|sakurai|momoka,3563,idolmaster
takatsuki_yayoi,yayoi takatsuki|takatsuki yayoi|takatsuki|yayoi,4488,idolmaster
akizuki_ritsuko,ritsuko akizuki|akizuki ritsuko|akizuki|ritsuko,3256,idolmaster
ichinose_shiki,shiki ichinose|ichinose shiki|ichinose|shiki,3893,idolmaster
p-head_producer,p-head producer|producer p-head|producer|p-head,3291,idolmaster
hagiwara_yukiho,hagiwara yukiho|yukiho hagiwara|hagiwara|yukiho,3559,idolmaster
ohtsuki_yui,yui ohtsuki|ohtsuki yui|ohtsuki|yui,2835,idolmaster
fukumaru_koito,fukumaru koito|koito fukumaru|fukumaru|koito,2791,idolmaster
tsukimura_temari,tsukimura temari|temari tsukimura|tsukimura|temari,2708,idolmaster
morikubo_nono,morikubo nono|nono morikubo|morikubo|nono,2453,idolmaster
sasaki_chie,sasaki chie|chie sasaki|sasaki|chie,2419,idolmaster
hayami_kanade,hayami kanade|kanade hayami|hayami|kanade,2977,idolmaster
sakuragi_mano,mano sakuragi|sakuragi mano|sakuragi|mano,2054,idolmaster
jougasaki_rika,jougasaki rika|rika jougasaki|jougasaki|rika,3370,idolmaster
asakura_toru,asakura toru|toru asakura|asakura|toru,3318,idolmaster
akagi_miria,miria akagi|akagi miria|miria|akagi,2785,idolmaster
hanami_saki,saki hanami|hanami saki|hanami|saki,2645,idolmaster
kazano_hiori,kazano hiori|hiori kazano|kazano|hiori,1798,idolmaster
maekawa_miku,maekawa miku|miku maekawa|maekawa|miku,3184,idolmaster
hanami_ume,hanami ume|ume hanami|hanami|ume,3149,idolmaster
osaki_amana,osaki amana|amana osaki|amana|osaki,2402,idolmaster
ichihara_nina,ichihara nina|nina ichihara|ichihara|nina,1937,idolmaster
morino_rinze,morino rinze|rinze morino|morino|rinze,2269,idolmaster
trainer_(umamusume),trainer,14724,umamusume
agnes_tachyon_(umamusume),agnes tachyon|tachyon agnes|tachyon|agnes,14257,umamusume
manhattan_cafe_(umamusume),manhattan cafe|cafe manhattan|manhattan|cafe,13299,umamusume
gold_ship_(umamusume),gold ship|ship gold|gold|ship,10751,umamusume
rice_shower_(umamusume),shower rice|rice shower|shower|rice,10014,umamusume
mejiro_mcqueen_(umamusume),mejiro mcqueen|mcqueen mejiro|mcqueen|mejiro,8655,umamusume
daiwa_scarlet_(umamusume),scarlet daiwa|daiwa scarlet|scarlet|daiwa,8895,umamusume
silence_suzuka_(umamusume),silence suzuka|suzuka silence|silence|suzuka,6378,umamusume
tokai_teio_(umamusume),teio tokai|tokai teio|tokai|teio,7167,umamusume
nice_nature_(umamusume),nature nice|nice nature|nature|nice,5567,umamusume
oguri_cap_(umamusume),cap oguri|oguri cap|oguri|cap,6762,umamusume
symboli_rudolf_(umamusume),rudolf symboli|symboli rudolf|symboli|rudolf,5131,umamusume
agnes_tachyon_(tach-nology)_(umamusume),agnes tachyon|tachyon agnes|tachyon|agnes,5492,umamusume
satono_diamond_(umamusume),satono diamond|diamond satono|diamond|satono,5568,umamusume
kitasan_black_(umamusume),black kitasan|kitasan black|kitasan|black,5103,umamusume
special_week_(umamusume),week special|special week|special|week,5024,umamusume
king_halo_(umamusume),king halo|halo king|king|halo,3963,umamusume
t-head_trainer_(umamusume),t-head trainer|trainer t-head|trainer|t-head,4091,umamusume
t.m._opera_o_(umamusume),opera t.m.|t.m. opera|opera|t.m.,4046,umamusume
haru_urara_(umamusume),haru urara|urara haru|urara|haru,4610,umamusume
seiun_sky_(umamusume),sky seiun|seiun sky|seiun|sky,3619,umamusume
gentildonna_(umamusume),gentildonna,4023,umamusume
vodka_(umamusume),vodka,3613,umamusume
cheval_grand_(umamusume),grand cheval|cheval grand|cheval|grand,4210,umamusume
tamamo_cross_(umamusume),tamamo cross|cross tamamo|tamamo|cross,4188,umamusume
curren_chan_(umamusume),chan curren|curren chan|curren|chan,4652,umamusume
